url,price,city,district,bedrooms,bathrooms,area_sqft,land_perches,property_type,furnished,has_pool,has_garden,has_cctv,has_hot_water,has_servant_room,has_balcony,has_garage,Price_Category
https://house.lk/details/complete-two-storey-house-for-sale-in-kandana-5849176/,25000000,Kandana,Gampaha,10.0,3.0,2400.0,11.25,House,Furnished,False,False,True,False,False,False,True,Mid_Range
https://house.lk/details/tranquil-guest-house-for-sale-lip-221-472098/,123900000,Unawatuna,Galle,3.0,3.0,,26.0,House,,True,True,False,False,False,False,False,Luxury
https://house.lk/details/affordable-apartment-for-sale-in-negombo-only-lkr-27-million-5892233/,27000000,Negombo,Gampaha,2.0,1.0,800.0,,Apartment,Unfurnished,True,True,False,False,False,False,False,Mid_Range
https://house.lk/details/apartment-for-sale-in-colombo-4-5888095/,150000000,Colombo,Colombo,3.0,2.0,1774.0,,Apartment,Furnished,True,True,False,False,False,False,False,Luxury
https://house.lk/details/apartment-for-sale-in-colombo-4-525-million-5842358/,52500000,Colombo,Colombo,3.0,2.0,1300.0,,Apartment,Unfurnished,True,False,False,False,True,True,False,Mid_Range
https://house.lk/details/brand-new-apartment-for-sale-in-19th-lane-colombo-03-lkr-69100000-5589903/,69100000,Colombo,Colombo,2.0,2.0,1190.0,,Apartment,,False,False,False,False,False,False,False,Premium
https://house.lk/details/gampola-commercial-building-for-sale-sspc-43-5896722/,72500000,Kandy,Kandy,,2.0,4000.0,6.27,Commercial Property,,False,False,False,False,False,False,False,Premium
https://house.lk/details/rh458-spacious-two-storey-house-for-sale-in-dehiwala-5909042/,79000000,Dehiwala,Colombo,5.0,6.0,1250.0,8.5,House,,False,True,True,False,False,False,False,Premium
https://house.lk/details/house-for-sale-battaramulla-lkr-200000000-5554977/,200000000,Battaramulla,Colombo,3.0,3.0,4800.0,21.4,House,,False,False,False,False,False,False,False,Luxury
https://house.lk/details/apartment-for-sale-in-colombo-3-orwell-residence-5749435/,120000000,Colombo,Colombo,3.0,2.0,2000.0,,Apartment,,True,False,False,False,True,False,False,Premium
https://house.lk/details/land-with-a-local-house-for-sale-in-weligama-face-main-road-beach-side-code-add-363-5616455/,210000000,Weligama,Matara,5.0,5.0,111.0,60.0,House,,True,False,False,False,False,False,False,Luxury
https://house.lk/details/cinnamon-life-colombo-2-bedroom-for-sale-nk852-5706801/,175000000,Colombo,Colombo,2.0,2.0,1238.0,,House,Unfurnished,True,False,False,True,False,True,False,Luxury
https://house.lk/details/house-for-sale-in-ratmalana-ssph-215-5868566/,41000000,Ratmalana,Colombo,3.0,2.0,1235.0,6.3,House,Furnished,False,False,False,True,True,False,True,Mid_Range
https://house.lk/details/03-bedroom-house-for-sale-thalahena-nk10176-5723155/,39500000,Colombo,Colombo,3.0,3.0,3950.0,14.5,House,Unfurnished,True,True,False,False,True,False,True,Mid_Range
https://house.lk/details/3-bedroom-3-bathrooms-1650-sq-ft-65-mn-5870779/,65000000,Rajagiriya,Colombo,3.0,3.0,1650.0,,House,Unfurnished,True,False,False,True,True,False,False,Premium
https://house.lk/details/rajagiriya-04br-house-for-sale-nk107164-5844158/,170000000,Rajagiriya,Colombo,4.0,3.0,4580.0,10.0,House,Unfurnished,True,True,False,False,True,False,True,Luxury
https://house.lk/details/blue-ocean-furnished-apartment-for-sale-in-mount-lavinia-ea858-5905155/,34000000,Mount Lavinia,Colombo,2.0,2.0,1085.0,,Apartment,Furnished,True,False,False,False,False,False,False,Mid_Range
https://house.lk/details/ultra-modern-5-bedroom-house-construction-in-ekala-for-rs-346-million-rs-346-laks-new-construction-5724981/,34650000,Gampaha,Gampaha,5.0,5.0,3500.0,9.0,House,Unfurnished,True,True,False,True,True,False,True,Mid_Range
https://house.lk/details/3br-apartment-for-sale-in-rajagiriya-5753766/,70000000,Rajagiriya,Colombo,3.0,2.0,1452.0,,Apartment,Furnished,True,False,False,False,True,True,True,Premium
https://house.lk/details/villa-for-sale-habaraduwa-usd-750000-5515146/,246990000,Galle,Galle,2.0,3.0,5960.0,22.15,Villa,,True,True,False,False,True,False,False,Luxury
https://house.lk/details/5-bedroom-house-for-sale-colombo-5-lkr-400-million-em073-5857912/,400000000,Colombo,Colombo,5.0,5.0,4500.0,25.9,House,,False,False,False,False,False,False,True,Luxury
https://house.lk/details/house-for-sale-ethul-kotte-lkr-185000000-5858479/,185000000,Kotte,Colombo,5.0,4.0,3884.0,34.5,House,,False,True,False,False,False,False,False,Luxury
https://house.lk/details/5-bedroom-house-for-sales-in-colombo-5-for-rs-225-million-nearest-offer-5307417/,225000000,Colombo,Colombo,5.0,4.0,3500.0,16.5,House,Unfurnished,False,True,False,False,True,False,True,Luxury
https://house.lk/details/se1715-stunning-2-storey-house-for-sale-colombo-5-5875121/,55000000,Colombo,Colombo,4.0,3.0,1600.0,4.5,House,Furnished,False,True,False,True,True,True,False,Mid_Range
https://house.lk/details/villa-for-sale-galle-usd-1250000-5842219/,1000000,Galle,Galle,4.0,4.0,21780.0,80.0,Villa,,True,True,False,False,False,False,False,Mid_Range
https://house.lk/details/luxury-apartment-for-sale-in-colombo-07file-number-5084b-5816692/,350000000,Colombo,Colombo,3.0,3.0,3000.0,,Apartment,Unfurnished,True,True,False,True,True,False,False,Luxury
https://house.lk/details/house-for-sale-in-rathmalana-5906358/,50000000,Colombo,Colombo,5.0,5.0,2345.0,6.85,House,Unfurnished,False,False,False,False,False,False,True,Mid_Range
https://house.lk/details/2000-plaza-06-bedroom-furnished-apartment-for-sale-in-kotte-a5950-5893347/,250000000,Kotte,Colombo,6.0,6.0,4252.0,,Apartment,Furnished,False,False,False,False,True,False,False,Luxury
https://house.lk/details/4-bedroom-house-for-sales-in-nugegoda-for-rs-60-million-negotiable-5882648/,60000000,Nugegoda,Colombo,4.0,3.0,3000.0,8.0,House,Unfurnished,False,False,False,True,True,True,True,Premium
https://house.lk/details/1500-sqft-commercial-building-with-a-house-for-sale-cp49360-5909793/,250000000,Colombo,Colombo,,3.0,1500.0,10.0,House,,False,False,False,False,False,False,False,Luxury
https://house.lk/details/447-luna-tower-02-bedroom-unfurnished-apartment-for-sale-in-colombo-02-a5140-sold-5820091/,90000000,Colombo,Colombo,2.0,2.0,1001.0,,Apartment,Unfurnished,False,False,False,False,True,False,False,Premium
https://house.lk/details/capital-heights-03br-apartment-for-sale-nk107050-5842838/,93000000,Rajagiriya,Colombo,3.0,3.0,1875.0,,Apartment,Unfurnished,True,False,False,False,True,True,False,Premium
https://house.lk/details/7-bedroom-house-for-sale-in-kynsey-road-colombo-8-5898788/,235000000,Colombo,Colombo,7.0,,4800.0,15.3,House,,False,False,False,False,False,False,False,Luxury
https://house.lk/details/battaramulla-pelawatte-house-for-sale-ssph-218-5869535/,125400000,Battaramulla,Colombo,3.0,1.0,2300.0,22.8,House,Unfurnished,False,False,False,False,False,False,True,Luxury
https://house.lk/details/house-for-sale-in-thalawathugoda-file-no-5163-b-5814047/,60000000,Thalawathugoda,Colombo,4.0,3.0,3000.0,19.5,House,,False,False,False,False,True,False,False,Premium
https://house.lk/details/horana-millawa-two-storey-house-for-sale-ssph-330-5894948/,40000000,Horana,Kalutara,5.0,4.0,1700.0,15.2,House,,False,False,True,True,True,False,True,Mid_Range
